station loedge_MHz bw_MHz
NOEMA 334824 64
NOEMA 334888 64
NOEMA 334952 64
NOEMA 335016 64
NOEMA 335080 64
NOEMA 335144 64
NOEMA 335208 64
NOEMA 335272 64
NOEMA 335336 64
NOEMA 335400 64
NOEMA 335464 64
NOEMA 335528 64
NOEMA 335592 64
NOEMA 335656 64
NOEMA 335720 64
NOEMA 335784 64
NOEMA 335848 64
NOEMA 335912 64
NOEMA 335976 64
NOEMA 336040 64
NOEMA 336104 64
NOEMA 336168 64
NOEMA 336232 64
NOEMA 336296 64
NOEMA 336360 64
NOEMA 336424 64
NOEMA 336488 64
NOEMA 336552 64
NOEMA 336872 64
NOEMA 336936 64
NOEMA 337000 64
NOEMA 337064 64
NOEMA 337128 64
NOEMA 337192 64
NOEMA 337256 64
NOEMA 337320 64
NOEMA 337384 64
NOEMA 337448 64
NOEMA 337512 64
NOEMA 337576 64
NOEMA 337640 64
NOEMA 337704 64
NOEMA 337768 64
NOEMA 337832 64
NOEMA 337896 64
NOEMA 337960 64
NOEMA 338024 64
NOEMA 338088 64
NOEMA 338152 64
NOEMA 338216 64
NOEMA 338280 64
NOEMA 338344 64
NOEMA 338408 64
NOEMA 338472 64
NOEMA 338536 64
NOEMA 338600 64
NOEMA 346536 64
NOEMA 346600 64
NOEMA 346664 64
NOEMA 346728 64
NOEMA 346792 64
NOEMA 346856 64
NOEMA 346920 64
NOEMA 346984 64
NOEMA 347048 64
NOEMA 347112 64
NOEMA 347176 64
NOEMA 347240 64
NOEMA 347304 64
NOEMA 347368 64
NOEMA 347432 64
NOEMA 347496 64
NOEMA 347560 64
NOEMA 347624 64
NOEMA 347688 64
NOEMA 347752 64
NOEMA 347816 64
NOEMA 347880 64
NOEMA 347944 64
NOEMA 348008 64
NOEMA 348072 64
NOEMA 348136 64
NOEMA 348200 64
NOEMA 348264 64
NOEMA 348328 64
NOEMA 348392 64
NOEMA 348456 64
NOEMA 348520 64
NOEMA 348584 64
NOEMA 348648 64
NOEMA 348712 64
NOEMA 348776 64
NOEMA 348840 64
NOEMA 348904 64
NOEMA 348968 64
NOEMA 349032 64
NOEMA 349096 64
NOEMA 349160 64
NOEMA 349224 64
NOEMA 349288 64
NOEMA 349352 64
NOEMA 349416 64
NOEMA 349480 64
NOEMA 349544 64
NOEMA 349608 64
NOEMA 349672 64
NOEMA 349736 64
NOEMA 349800 64
NOEMA 349864 64
NOEMA 349928 64
NOEMA 349992 64
NOEMA 350056 64
NOEMA 350120 64
NOEMA 350184 64
NOEMA 350248 64
NOEMA 350312 64
