#Site      X(m)             Y(m)             Z(m)           SEFDR      SEFDL     FR_PAR   FR_EL   FR_OFF  DR_RE    DR_IM    DL_RE    DL_IM   
ALMA         2225060.81360   -5440059.59994   -2481681.15054      0.00       0.00   1.00    0.00    0.00    0.0045  -0.0016  -0.0040   0.0020 
APEX         2225039.52970   -5441197.62920   -2479303.35970      0.00       0.00   1.00    1.00    0.00    0.0037  -0.0018  -0.0014   0.0010 
SMTO        -1828796.20000   -5054406.80000    3427865.20000      0.00       0.00   1.00    1.00    0.00   -0.0067   0.0134   0.0052   0.0095 
JCMT        -5464584.67600   -2493001.17000    2150653.98200      0.00       0.00   1.00    0.00    0.00    0.2214   0.0511  -0.1166   0.0666 
LMT         -768715.63200   -5988507.07200    2063354.85200      0.00       0.00   1.00   -1.00    0.00   -0.0043   0.0027  -0.0060   0.0154 
PICOVEL         5088967.74544    -301681.18586    3825012.20561      0.00       0.00   1.00   -1.00    0.00   -0.0103   0.0075   0.0087   0.0139 
SMAP        -5464555.49300   -2492927.98900    2150797.17600      0.00       0.00   1.00   -1.00   45.00   -0.0011  -0.0054  -0.0034  -0.0033 
SPT               0.01000          0.01000   -6359609.70000      0.00       0.00   1.00    0.00    0.00    0.0089  -0.0082   0.0257  -0.0101 
THULE          541547.00000   -1387979.00000    6180982.00000      0.00       0.00   1.00    0.00    0.00   -0.1353   0.0590   0.1136   0.0950 
