#Site      X(m)             Y(m)             Z(m)           SEFDR      SEFDL     FR_PAR   FR_EL   FR_OFF  DR_RE    DR_IM    DL_RE    DL_IM   
ALMA         2225060.81360   -5440059.59994   -2481681.15054      0.00       0.00   1.00    0.00    0.00   -0.0033  -0.0604  -0.0123  -0.0583 
APEX         2225039.52970   -5441197.62920   -2479303.35970      0.00       0.00   1.00    1.00    0.00   -0.0851   0.0394   0.0492   0.0480 
SMTO        -1828796.20000   -5054406.80000    3427865.20000      0.00       0.00   1.00    1.00    0.00    0.0402   0.0867  -0.0606   0.1123 
JCMT        -5464584.67600   -2493001.17000    2150653.98200      0.00       0.00   1.00    0.00    0.00   -0.0021  -0.0430   0.0030   0.0306 
LMT         -768715.63200   -5988507.07200    2063354.85200      0.00       0.00   1.00   -1.00    0.00    0.0057   0.0453  -0.0212  -0.0022 
PICOVEL         5088967.74544    -301681.18586    3825012.20561      0.00       0.00   1.00   -1.00    0.00   -0.1396   0.0042   0.1531   0.0130 
SMAP        -5464555.49300   -2492927.98900    2150797.17600      0.00       0.00   1.00   -1.00   45.00   -0.0116   0.0352   0.0333   0.0448 
SMAR        -5464555.49300   -2492927.98900    2150797.17600      0.00       0.00   1.00   -1.00   45.00   -0.0116   0.0352   0.0333   0.0448 
